num of racks affected,num of nodes affected,Occurance,probability
1,1,317659.0,0.9201906086150459
1,2,9991.0,0.02894180353987428
1,3,2050.0,0.005938414298542916
1,4,782.0,0.0022652877958344196
1,5,401.0,0.0011616117725442485
1,6,244.0,0.0007068161408997422
1,7,165.0,0.0004779699313461371
1,8,120.0,0.00034761449552446336
1,9,92.0,0.00026650444656875526
1,10,73.0,0.00021146548477738187
1,11,60.0,0.00017380724776223168
1,12,51.0,0.00014773616059789694
1,13,44.0,0.0001274586483589699
1,14,38.0,0.00011007792358274674
1,15,34.0,9.849077373193128e-05
1,16,30.0,8.690362388111584e-05
1,17,27.0,7.821326149300426e-05
1,18,25.0,7.241968656759653e-05
1,19,23.0,6.662611164218882e-05
1,20,21.0,6.083253671678109e-05
2,1,0.0,0.0
2,2,6598.0,0.019113003678920076
2,3,1459.0,0.004226412908084934
2,4,582.0,0.0016859303032936473
2,5,308.0,0.0008922105385127893
2,6,191.0,0.0005532864053764376
2,7,132.0,0.0003823759450769097
2,8,97.0,0.0002809883838822746
2,9,75.0,0.00021725905970278962
2,10,61.0,0.00017670403522493554
2,11,50.0,0.00014483937313519306
2,12,43.0,0.00012456186089626603
2,13,37.0,0.00010718113612004287
2,14,32.0,9.269719880652357e-05
2,15,29.0,8.400683641841198e-05
2,16,26.0,7.53164740303004e-05
2,17,24.0,6.952289910489267e-05
2,18,21.0,6.083253671678109e-05
2,19,20.0,5.793574925407723e-05
2,20,18.0,5.2142174328669504e-05
3,1,0.0,0.0
3,2,0.0,0.0
3,3,2282.0,0.006610468989890212
3,4,293.0,0.0008487587265722314
3,5,86.0,0.00024912372179253207
3,6,38.0,0.00011007792358274674
3,7,21.0,6.083253671678109e-05
3,8,14.0,4.055502447785406e-05
3,9,10.0,2.8967874627038616e-05
3,10,7.0,2.027751223892703e-05
3,11,6.0,1.7380724776223168e-05
3,12,5.0,1.4483937313519308e-05
3,13,4.0,1.1587149850815446e-05
3,14,4.0,1.1587149850815446e-05
3,15,3.0,8.690362388111584e-06
3,16,3.0,8.690362388111584e-06
3,17,3.0,8.690362388111584e-06
3,18,2.0,5.793574925407723e-06
3,19,2.0,5.793574925407723e-06
3,20,2.0,5.793574925407723e-06
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,244.0,0.0007068161408997422
4,5,41.0,0.00011876828597085832
4,6,14.0,4.055502447785406e-05
4,7,7.0,2.027751223892703e-05
4,8,5.0,1.4483937313519308e-05
4,9,3.0,8.690362388111584e-06
4,10,3.0,8.690362388111584e-06
4,11,2.0,5.793574925407723e-06
4,12,2.0,5.793574925407723e-06
4,13,2.0,5.793574925407723e-06
4,14,1.0,2.8967874627038615e-06
4,15,1.0,2.8967874627038615e-06
4,16,1.0,2.8967874627038615e-06
4,17,1.0,2.8967874627038615e-06
4,18,1.0,2.8967874627038615e-06
4,19,1.0,2.8967874627038615e-06
4,20,1.0,2.8967874627038615e-06
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,85.0,0.00024622693432982824
5,6,23.0,6.662611164218882e-05
5,7,10.0,2.8967874627038616e-05
5,8,6.0,1.7380724776223168e-05
5,9,4.0,1.1587149850815446e-05
5,10,3.0,8.690362388111584e-06
5,11,2.0,5.793574925407723e-06
5,12,2.0,5.793574925407723e-06
5,13,2.0,5.793574925407723e-06
5,14,1.0,2.8967874627038615e-06
5,15,1.0,2.8967874627038615e-06
5,16,1.0,2.8967874627038615e-06
5,17,1.0,2.8967874627038615e-06
5,18,1.0,2.8967874627038615e-06
5,19,1.0,2.8967874627038615e-06
5,20,1.0,2.8967874627038615e-06
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,0.0
6,6,23.0,6.662611164218882e-05
6,7,10.0,2.8967874627038616e-05
6,8,6.0,1.7380724776223168e-05
6,9,4.0,1.1587149850815446e-05
6,10,3.0,8.690362388111584e-06
6,11,2.0,5.793574925407723e-06
6,12,2.0,5.793574925407723e-06
6,13,2.0,5.793574925407723e-06
6,14,1.0,2.8967874627038615e-06
6,15,1.0,2.8967874627038615e-06
6,16,1.0,2.8967874627038615e-06
6,17,1.0,2.8967874627038615e-06
6,18,1.0,2.8967874627038615e-06
6,19,1.0,2.8967874627038615e-06
6,20,1.0,2.8967874627038615e-06
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.0,0.0
7,5,0.0,0.0
7,6,0.0,0.0
7,7,10.0,2.8967874627038616e-05
7,8,6.0,1.7380724776223168e-05
7,9,4.0,1.1587149850815446e-05
7,10,3.0,8.690362388111584e-06
7,11,2.0,5.793574925407723e-06
7,12,2.0,5.793574925407723e-06
7,13,2.0,5.793574925407723e-06
7,14,1.0,2.8967874627038615e-06
7,15,1.0,2.8967874627038615e-06
7,16,1.0,2.8967874627038615e-06
7,17,1.0,2.8967874627038615e-06
7,18,1.0,2.8967874627038615e-06
7,19,1.0,2.8967874627038615e-06
7,20,1.0,2.8967874627038615e-06
8,1,0.0,0.0
8,2,0.0,0.0
8,3,0.0,0.0
8,4,0.0,0.0
8,5,0.0,0.0
8,6,0.0,0.0
8,7,0.0,0.0
8,8,6.0,1.7380724776223168e-05
8,9,4.0,1.1587149850815446e-05
8,10,3.0,8.690362388111584e-06
8,11,2.0,5.793574925407723e-06
8,12,2.0,5.793574925407723e-06
8,13,2.0,5.793574925407723e-06
8,14,1.0,2.8967874627038615e-06
8,15,1.0,2.8967874627038615e-06
8,16,1.0,2.8967874627038615e-06
8,17,1.0,2.8967874627038615e-06
8,18,1.0,2.8967874627038615e-06
8,19,1.0,2.8967874627038615e-06
8,20,1.0,2.8967874627038615e-06
9,1,0.0,0.0
9,2,0.0,0.0
9,3,0.0,0.0
9,4,0.0,0.0
9,5,0.0,0.0
9,6,0.0,0.0
9,7,0.0,0.0
9,8,0.0,0.0
9,9,4.0,1.1587149850815446e-05
9,10,3.0,8.690362388111584e-06
9,11,2.0,5.793574925407723e-06
9,12,2.0,5.793574925407723e-06
9,13,2.0,5.793574925407723e-06
9,14,1.0,2.8967874627038615e-06
9,15,1.0,2.8967874627038615e-06
9,16,1.0,2.8967874627038615e-06
9,17,1.0,2.8967874627038615e-06
9,18,1.0,2.8967874627038615e-06
9,19,1.0,2.8967874627038615e-06
9,20,1.0,2.8967874627038615e-06
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.0,0.0
10,4,0.0,0.0
10,5,0.0,0.0
10,6,0.0,0.0
10,7,0.0,0.0
10,8,0.0,0.0
10,9,0.0,0.0
10,10,3.0,8.690362388111584e-06
10,11,2.0,5.793574925407723e-06
10,12,2.0,5.793574925407723e-06
10,13,2.0,5.793574925407723e-06
10,14,1.0,2.8967874627038615e-06
10,15,1.0,2.8967874627038615e-06
10,16,1.0,2.8967874627038615e-06
10,17,1.0,2.8967874627038615e-06
10,18,1.0,2.8967874627038615e-06
10,19,1.0,2.8967874627038615e-06
10,20,1.0,2.8967874627038615e-06
11,1,0.0,0.0
11,2,0.0,0.0
11,3,0.0,0.0
11,4,0.0,0.0
11,5,0.0,0.0
11,6,0.0,0.0
11,7,0.0,0.0
11,8,0.0,0.0
11,9,0.0,0.0
11,10,0.0,0.0
11,11,2.0,5.793574925407723e-06
11,12,2.0,5.793574925407723e-06
11,13,2.0,5.793574925407723e-06
11,14,1.0,2.8967874627038615e-06
11,15,1.0,2.8967874627038615e-06
11,16,1.0,2.8967874627038615e-06
11,17,1.0,2.8967874627038615e-06
11,18,1.0,2.8967874627038615e-06
11,19,1.0,2.8967874627038615e-06
11,20,1.0,2.8967874627038615e-06
12,1,0.0,0.0
12,2,0.0,0.0
12,3,0.0,0.0
12,4,0.0,0.0
12,5,0.0,0.0
12,6,0.0,0.0
12,7,0.0,0.0
12,8,0.0,0.0
12,9,0.0,0.0
12,10,0.0,0.0
12,11,0.0,0.0
12,12,2.0,5.793574925407723e-06
12,13,2.0,5.793574925407723e-06
12,14,1.0,2.8967874627038615e-06
12,15,1.0,2.8967874627038615e-06
12,16,1.0,2.8967874627038615e-06
12,17,1.0,2.8967874627038615e-06
12,18,1.0,2.8967874627038615e-06
12,19,1.0,2.8967874627038615e-06
12,20,1.0,2.8967874627038615e-06
13,1,0.0,0.0
13,2,0.0,0.0
13,3,0.0,0.0
13,4,0.0,0.0
13,5,0.0,0.0
13,6,0.0,0.0
13,7,0.0,0.0
13,8,0.0,0.0
13,9,0.0,0.0
13,10,0.0,0.0
13,11,0.0,0.0
13,12,0.0,0.0
13,13,2.0,5.793574925407723e-06
13,14,1.0,2.8967874627038615e-06
13,15,1.0,2.8967874627038615e-06
13,16,1.0,2.8967874627038615e-06
13,17,1.0,2.8967874627038615e-06
13,18,1.0,2.8967874627038615e-06
13,19,1.0,2.8967874627038615e-06
13,20,1.0,2.8967874627038615e-06
14,1,0.0,0.0
14,2,0.0,0.0
14,3,0.0,0.0
14,4,0.0,0.0
14,5,0.0,0.0
14,6,0.0,0.0
14,7,0.0,0.0
14,8,0.0,0.0
14,9,0.0,0.0
14,10,0.0,0.0
14,11,0.0,0.0
14,12,0.0,0.0
14,13,0.0,0.0
14,14,1.0,2.8967874627038615e-06
14,15,1.0,2.8967874627038615e-06
14,16,1.0,2.8967874627038615e-06
14,17,1.0,2.8967874627038615e-06
14,18,1.0,2.8967874627038615e-06
14,19,1.0,2.8967874627038615e-06
14,20,1.0,2.8967874627038615e-06
15,1,0.0,0.0
15,2,0.0,0.0
15,3,0.0,0.0
15,4,0.0,0.0
15,5,0.0,0.0
15,6,0.0,0.0
15,7,0.0,0.0
15,8,0.0,0.0
15,9,0.0,0.0
15,10,0.0,0.0
15,11,0.0,0.0
15,12,0.0,0.0
15,13,0.0,0.0
15,14,0.0,0.0
15,15,1.0,2.8967874627038615e-06
15,16,1.0,2.8967874627038615e-06
15,17,1.0,2.8967874627038615e-06
15,18,1.0,2.8967874627038615e-06
15,19,1.0,2.8967874627038615e-06
15,20,1.0,2.8967874627038615e-06
16,1,0.0,0.0
16,2,0.0,0.0
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
16,6,0.0,0.0
16,7,0.0,0.0
16,8,0.0,0.0
16,9,0.0,0.0
16,10,0.0,0.0
16,11,0.0,0.0
16,12,0.0,0.0
16,13,0.0,0.0
16,14,0.0,0.0
16,15,0.0,0.0
16,16,1.0,2.8967874627038615e-06
16,17,1.0,2.8967874627038615e-06
16,18,1.0,2.8967874627038615e-06
16,19,1.0,2.8967874627038615e-06
16,20,1.0,2.8967874627038615e-06
17,1,0.0,0.0
17,2,0.0,0.0
17,3,0.0,0.0
17,4,0.0,0.0
17,5,0.0,0.0
17,6,0.0,0.0
17,7,0.0,0.0
17,8,0.0,0.0
17,9,0.0,0.0
17,10,0.0,0.0
17,11,0.0,0.0
17,12,0.0,0.0
17,13,0.0,0.0
17,14,0.0,0.0
17,15,0.0,0.0
17,16,0.0,0.0
17,17,1.0,2.8967874627038615e-06
17,18,1.0,2.8967874627038615e-06
17,19,1.0,2.8967874627038615e-06
17,20,1.0,2.8967874627038615e-06
18,1,0.0,0.0
18,2,0.0,0.0
18,3,0.0,0.0
18,4,0.0,0.0
18,5,0.0,0.0
18,6,0.0,0.0
18,7,0.0,0.0
18,8,0.0,0.0
18,9,0.0,0.0
18,10,0.0,0.0
18,11,0.0,0.0
18,12,0.0,0.0
18,13,0.0,0.0
18,14,0.0,0.0
18,15,0.0,0.0
18,16,0.0,0.0
18,17,0.0,0.0
18,18,1.0,2.8967874627038615e-06
18,19,1.0,2.8967874627038615e-06
18,20,1.0,2.8967874627038615e-06
19,1,0.0,0.0
19,2,0.0,0.0
19,3,0.0,0.0
19,4,0.0,0.0
19,5,0.0,0.0
19,6,0.0,0.0
19,7,0.0,0.0
19,8,0.0,0.0
19,9,0.0,0.0
19,10,0.0,0.0
19,11,0.0,0.0
19,12,0.0,0.0
19,13,0.0,0.0
19,14,0.0,0.0
19,15,0.0,0.0
19,16,0.0,0.0
19,17,0.0,0.0
19,18,0.0,0.0
19,19,1.0,2.8967874627038615e-06
19,20,1.0,2.8967874627038615e-06
20,1,0.0,0.0
20,2,0.0,0.0
20,3,0.0,0.0
20,4,0.0,0.0
20,5,0.0,0.0
20,6,0.0,0.0
20,7,0.0,0.0
20,8,0.0,0.0
20,9,0.0,0.0
20,10,0.0,0.0
20,11,0.0,0.0
20,12,0.0,0.0
20,13,0.0,0.0
20,14,0.0,0.0
20,15,0.0,0.0
20,16,0.0,0.0
20,17,0.0,0.0
20,18,0.0,0.0
20,19,0.0,0.0
20,20,1.0,2.8967874627038615e-06
